WindowIndex,MeanSVM,MeanDeltaSVM,StdDeltaSVM,Status
1,9.75,0.76,0.89,안전
2,9.78,0.92,1.02,안전
3,9.80,0.72,0.87,안전
4,9.79,0.78,0.82,안전
5,9.76,0.59,0.77,안전
6,9.74,0.19,0.29,안전
7,9.75,0.17,0.16,안전
8,9.75,0.17,0.14,안전
9,9.75,0.15,0.12,안전
10,9.74,0.15,0.16,안전
11,9.78,0.39,0.77,안전
12,9.80,0.62,0.90,안전
13,9.76,0.36,0.59,안전
14,9.81,0.41,0.77,안전
15,9.80,0.49,0.77,안전
16,9.74,0.29,0.49,안전
17,9.76,0.39,0.61,안전
18,9.76,0.46,0.57,안전
19,9.77,0.46,0.49,안전
20,9.77,0.47,0.52,안전
21,9.77,0.52,0.65,안전
22,9.77,0.39,0.58,안전
23,9.75,0.18,0.26,안전
24,9.75,0.16,0.13,안전
25,9.76,0.20,0.17,안전
26,9.79,0.33,0.65,안전
27,9.83,0.45,0.74,안전
28,9.80,0.45,0.61,안전
29,9.75,0.58,0.69,안전
30,9.73,0.49,0.61,안전
31,9.74,0.42,0.54,안전
32,9.74,0.37,0.52,안전
33,9.74,0.30,0.44,안전
34,9.74,0.37,0.47,안전
35,9.75,0.44,0.55,안전
36,9.76,0.51,0.64,안전
37,9.77,0.48,0.72,안전
38,9.82,0.63,0.88,안전
39,9.80,0.51,0.73,안전
40,9.75,0.21,0.22,안전
41,9.76,0.33,0.50,안전
42,9.78,0.36,0.50,안전
43,9.77,0.28,0.30,안전
44,9.75,0.24,0.31,안전
45,9.76,0.21,0.19,안전
46,9.78,0.24,0.21,안전
47,9.91,0.41,0.93,안전
48,10.53,1.54,2.47,안전
49,12.88,3.29,7.46,주의
50,16.40,5.01,10.88,위험
51,14.64,3.24,8.86,위험
52,10.44,0.33,2.12,안전
53,9.71,0.18,0.33,안전
54,9.69,0.41,0.57,안전
55,9.67,0.78,0.76,안전
56,9.74,0.81,0.76,안전
57,9.76,0.66,0.74,안전
58,9.73,0.51,0.73,안전
59,9.99,0.86,1.29,안전
60,10.08,1.13,1.40,안전
61,9.82,0.99,1.08,안전
62,9.94,1.26,1.28,안전
63,10.03,1.18,1.23,안전
64,9.93,0.81,0.72,안전
65,9.89,0.69,0.64,안전
66,9.87,0.57,0.73,안전
67,9.85,0.59,0.73,안전
68,9.77,0.59,0.74,안전
69,9.76,0.59,0.82,안전
70,9.89,0.95,1.11,안전
71,10.02,1.26,1.44,안전
72,10.03,1.39,1.44,안전
73,9.97,1.31,1.32,안전
74,9.98,1.15,1.28,안전
75,9.96,1.04,1.19,안전
76,9.95,0.93,1.41,안전
77,9.94,0.75,1.31,안전
